Country Name,Time,GDP_grw,GDP_pc,Industry,Services,Emp_pop,Inflation,Exports,Imports,FDI,Labor force ,Emp_agri,Emp_ind,Emp_ser,GCF
Indonesia,2011,6.169784208,3613.800888,6.349754192,8.410780135,63.464,5.35604779,26.32735309,23.8526601,20564938227,66.91,37.1929,19.99049,42.81665,32.98433326
Indonesia,2012,6.030050653,3668.212084,5.305284956,6.819921131,64.406,4.279499996,24.59437879,24.98851951,21200778608,67.42,35.93074,21.0701,42.9992,35.07159361
Indonesia,2013,5.557263689,3602.885517,4.34215208,6.390223046,63.863,6.412513302,23.92357638,24.7137963,23281742362,66.76,34.97517,20.95411,44.07069,33.83135679
Indonesia,2014,5.006668426,3476.624854,4.232211488,6.017141862,63.922,6.394925408,23.6659846,24.41419099,25120732060,66.62,34.28241,21.3959,44.32175,34.60034391
Indonesia,2015,4.8763223,3322.581679,2.991831063,5.451880535,63.577,6.363121131,21.16017926,20.77746098,19779127977,66.58,33.04387,22.03846,44.91769,34.06279218
Indonesia,2016,5.033069183,3558.818852,3.824482261,5.664433019,63.459,3.525805157,19.08899385,18.33234795,4541713739,66.31,31.82045,21.72385,46.45575,33.8587393
Indonesia,2017,5.069785901,3839.785075,4.091131457,5.653780856,64.169,3.80879807,20.17730444,19.17819264,20510310832,66.69,30.79004,22.01767,47.1923,33.7105948
Indonesia,2018,5.17429154,3902.661675,4.343263312,5.821343234,64.68,3.198346416,21.0027465,22.07156246,18909826044,67.65,29.71325,22.27278,48.01399,34.57058583
Indonesia,2019,5.01928768,4151.227555,3.809958372,6.39180523,65.79,3.03058665,18.5915278,19.03624974,24993551748,68.24,28.72393,22.29776,48.97831,33.78014238
Indonesia,2020,-2.065511829,3895.618152,-2.800135982,-1.453569082,64.535,1.920968006,17.33116828,15.64100712,19175077748,67.4,29.57159,21.53538,48.89307,32.34341205
Malaysia,2011,5.293912834,10209.37191,2.474810031,7.180884442,59.756,3.174470922,85.25544211,69.6822425,15119439204,61.636,13.39134,27.56528,59.04337,23.18825797
Malaysia,2012,5.473454193,10601.51091,4.932752537,6.636520206,60.755,1.663571025,79.29991393,68.54184084,8895774251,62.699,13.25115,27.57532,59.17356,25.74862137
Malaysia,2013,4.693722526,10727.67055,3.646976252,6.025750876,62.184,2.105012312,75.62904103,67.09195043,11296279514,64.213,12.69298,27.94262,59.36437,25.9371067
Malaysia,2014,6.006721946,11045.58098,5.874309206,6.76793319,62.648,3.142990509,73.79349863,64.51873255,10619431583,64.506,12.58943,27.74701,59.66356,24.97760843
Malaysia,2015,5.091532422,9699.584909,5.233513447,5.335819006,62.711,2.104389802,69.4486909,61.92138155,9857162112,64.717,12.46907,27.51884,60.01207,25.42426328
Malaysia,2016,4.449781398,9555.647335,4.343800411,5.713408279,62.382,2.090566595,66.77544545,60.12356457,13470089921,64.604,11.36711,27.4868,61.14611,25.995512
Malaysia,2017,5.81272241,9979.704757,4.666159805,6.461253187,62.515,3.871201158,70.01174251,63.14343086,9368469823,64.722,11.01605,27.50484,61.47913,25.54734345
Malaysia,2018,4.843086976,11073.97859,3.335154385,6.955080382,62.976,0.884709161,68.55497142,61.84765408,8304480742,65.125,10.59484,27.50637,61.89882,23.89741996
Malaysia,2019,4.413187421,11132.10345,2.593875501,6.156888077,63.456,0.662891866,65.27776684,57.75079519,9154921685,65.595,10.2274,27.49846,62.27414,21.04824039
Malaysia,2020,-5.534435297,10160.82935,-6.059738525,-5.592834014,62.311,-1.138702154,61.59923922,55.2293469,4058769679,65.274,9.950604,27.75386,62.29552,19.69906116
Singapore,2011,6.214934169,53891.46229,6.761599233,6.681952558,66.436,5.247793398,203.3277086,175.7709227,49155657316,69.125,0.8504899,20.60366,78.54585,26.69199435
Singapore,2012,4.435497594,55547.54625,2.167628244,5.372937472,66.962,4.575602704,196.7196129,172.4933529,55310807548,69.55,0.8029233,20.24545,78.95163,29.26294267
Singapore,2013,4.817630991,56967.42579,1.832749216,6.638028447,66.81,2.358604154,195.0777963,171.9639837,64389514904,69.492,0.7487943,19.55665,79.69456,29.97950219
Singapore,2014,3.935540277,57564.80231,3.8027643,4.296407818,67.643,1.02514803,191.9535358,168.5137834,68698472831,70.271,0.6656256,17.43463,81.89974,29.43000828
Singapore,2015,2.976799316,55645.60686,-2.513089902,4.233324399,68.454,-0.522618167,178.3846085,151.0867904,69774553125,71.151,0.5790033,17.08908,82.33192,25.35319302
Singapore,2016,3.601656039,56895.64334,2.685952422,3.094498336,67.993,-0.53226874,164.6720046,138.4645019,65362989167,70.885,0.4773196,15.88288,83.6398,26.44455068
Singapore,2017,4.544728218,61164.89736,6.85937141,3.630745723,67.616,0.57626031,171.5646195,144.9129504,1.02E+11,70.58,0.4444876,15.60495,83.95056,27.29153873
Singapore,2018,3.57543271,66836.53851,5.545261374,3.341658413,67.571,0.438620118,177.3504369,147.8469221,81160897313,70.125,0.40347,15.74545,83.85108,24.76016913
Singapore,2019,1.331261327,66070.47067,-1.126725067,2.112901059,68.262,0.565260569,175.5944373,146.1090599,1.05E+11,70.446,0.4045587,14.71341,84.88203,24.59690001
Singapore,2020,-3.901053402,61274.00646,-0.195441638,-4.259148626,67.426,-0.181916667,181.9886031,150.7852234,78447583787,70.308,0.3370616,14.57341,85.08953,22.62130033
Thailand,2011,0.840132083,5396.643527,-4.114035095,3.677783366,72.796,3.808790581,70.85490938,68.82049784,2473685996,73.28,41.00846,19.44064,39.5509,26.79145825
Thailand,2012,7.242796202,5748.632782,7.249978892,8.248597211,72.577,3.014899503,68.95123563,68.72370288,12899036063,73,42.14297,19.82242,38.0346,28.02416571
Thailand,2013,2.687495563,6041.134013,1.552230097,3.969425252,70.094,2.184886185,67.17114107,65.2911331,15935960665,70.27,39.30054,21.25965,39.43982,27.45710118
Thailand,2014,0.984468864,5822.377723,-0.080875671,2.032611739,69.425,1.895141819,68.39413516,62.51136028,4975455660,69.83,33.49304,23.55369,42.95329,23.91901955
Thailand,2015,3.134047249,5708.794147,2.953286134,5.073907535,68.825,-0.900424963,67.63669027,57.20297188,8927579182,69.24,32.33451,23.71998,43.94554,22.35564064
Thailand,2016,3.435157717,5854.463852,2.643186443,4.682595629,67.779,0.188149704,67.07088397,53.50434332,3486184390,68.25,31.22905,23.72589,45.04504,21.1054892
